date,next_date,next_close,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
03/21/2014,03/24/2014,105.61,HP,106.64,381,1,1,1,1,D,100,29,S,E,L,L
03/21/2014,03/24/2014,86.95,PNC,86.87,313,1,2,1,1,D,92,29,S,E,L,L
03/21/2014,03/24/2014,46.09,SWN,46.57,313,1,1,2,1,D,92,29,S,E,L,L
03/24/2014,03/25/2014,35.40,BK,35.58,311,2,2,1,1,D,83,28, ,E,L,L
03/24/2014,03/25/2014,60.93,JPM,61.07,391,1,3,1,1,D,83,26,S,E,L,L
03/24/2014,03/25/2014,24.86,NBR,24.04,311,1,1,2,1,D,92,29,S,E,L,L
03/25/2014,03/26/2014,35.15,BK,35.40,313,2,2,1,1,D,83,28, ,E,L,L
03/25/2014,03/26/2014,24.03,NBR,24.86,313,1,1,2,1,D,92,29,S,E,L,L
03/28/2014,03/31/2014,556.97,GOOG,559.99,391,1,1,2,2,D,92,19,S,E,L,L
03/31/2014,04/01/2014,56.62,EIX,56.61,313,1,1,3,1,D,83,28,S,E,L,L
04/01/2014,04/02/2014,55.96,EIX,56.62,313,1,1,1,1,D,100,30,S,E,L,L
04/01/2014,04/02/2014,41.13,ORCL,41.49,391,1,2,1,1,D,92,27,S,E,L,L
04/02/2014,04/03/2014,92.06,DE,91.90,311,1,2,1,1,D,92,29,S,E,L,L
04/03/2014,04/04/2014,101.05,APC,99.02,391,1,1,1,1,D,100,28,S,E,L,L
04/04/2014,04/07/2014,96.89,APC,101.05,381,1,1,1,1,D,100,29,S,E,L,L
04/09/2014,04/10/2014,60.92,JOY,61.60,381,1,2,2,1,D,83,27,S,E,L,L
04/14/2014,04/15/2014,40.66,ATI,40.61,381,1,1,2,1,D,92,28,S,E,L,L
04/15/2014,04/16/2014,77.18,DTE,76.84,381,1,2,2,1,D,83,27,S,E,L,L
04/16/2014,04/17/2014,65.58,MAC,66.08,311,1,2,1,1,D,92,29,S,E,L,L
04/16/2014,04/17/2014,45.12,SO,45.82,331,1,1,3,1,D,83,28,S,E,L,L
04/17/2014,04/21/2014,74.60,COP,74.77,311,1,1,2,1,D,92,29,S,E,L,L
04/17/2014,04/21/2014,48.69,SWN,48.93,313,1,1,3,1,D,83,28,S,E,L,L
04/21/2014,04/22/2014,163.65,AGN,142.00,391,1,2,1,1,D,92,27,S,E,L,L
04/21/2014,04/22/2014,5.88,FTR,5.90,311,2,2,1,1,D,83,28, ,E,L,L
04/28/2014,04/29/2014,22.79,POM,23.10,391,1,1,1,1,D,100,28,S,E,L,L
04/28/2014,04/29/2014,46.36,SO,46.68,311,1,1,2,1,D,92,29,S,E,L,L
04/30/2014,05/01/2014,53.87,GAS,54.00,313,1,1,3,1,D,83,28,S,E,L,L
04/30/2014,05/01/2014,45.57,HSP,45.80,381,1,3,1,1,D,83,27,S,E,L,L
04/30/2014,05/01/2014,58.99,LO,59.42,391,1,1,1,1,D,100,28,S,E,L,L
05/05/2014,05/06/2014,77.08,COP,76.89,331,1,1,3,1,D,83,28,S,E,L,L
05/06/2014,05/07/2014,35.08,NRG,34.23,331,1,2,2,1,D,83,28,S,E,L,L
05/07/2014,05/08/2014,77.01,COP,78.11,313,1,1,2,1,D,92,29,S,E,L,L
05/07/2014,05/08/2014,74.79,ETR,75.16,391,1,1,3,1,D,83,26,S,E,L,L
05/08/2014,05/09/2014,63.81,TAP,63.46,391,1,2,1,1,D,92,27,S,E,L,L
05/09/2014,05/12/2014,35.31,EA,35.12,381,1,1,3,1,D,83,27,S,E,L,L
05/09/2014,05/12/2014,63.67,TAP,63.81,381,1,2,1,1,D,92,28,S,E,L,L
05/12/2014,05/13/2014,41.28,BMS,41.44,321,1,3,1,1,D,83,27,S,E,L,L
05/20/2014,05/21/2014,46.58,WMB,46.33,313,1,1,3,1,D,83,28,S,E,L,L
