date,symbol,close,kno,w,h,e,n,rd,pct,cr
8/29/08,AEE,41.86,573,0,8,4,7,D,24,25
8/29/08,BSX,12.56,577,0,9,0,7,D,88,26
8/29/08,CMA,28.09,571,0,9,0,7,D,12,26
8/29/08,CNP,15.88,753,0,9,5,7,R,81,25
8/29/08,COP,82.51,757,0,7,0,7,R,15,25
8/29/08,COST,67.06,777,0,8,0,7,D,87,26
8/29/08,DTE,42.16,563,0,9,0,7,R,88,25
8/29/08,FE,72.64,577,0,6,5,7,D,78,25
8/29/08,FLIR,35.7,757,0,5,5,9,R,24,25
8/29/08,FLS,132.12,773,0,8,3,5,D,28,25
8/29/08,ISRG,295.27,753,0,8,0,7,R,87,26
8/29/08,ITW,49.61,563,0,6,4,7,R,74,25
8/29/08,MTB,71.34,573,0,9,0,7,D,12,26
8/29/08,NKE,60.61,773,0,8,0,7,D,13,26
8/29/08,PKI,28.41,757,0,9,0,5,R,12,26
8/29/08,POM,25.35,753,0,8,4,7,R,76,26
8/29/08,RAI,52.98,573,0,8,0,7,D,13,25
8/29/08,SJM,54.23,313,0,3,0,1,D,33,26
8/29/08,UNP,83.9,753,2,3,5,1,R,48,25
9/2/08,ACE,52.32,673,0,8,0,8,R,87,8
9/2/08,ACN,41.96,673,0,6,4,2,R,74,6
9/2/08,CAG,21.46,664,0,9,0,8,D,12,8
9/2/08,CMCSK,21,854,0,6,0,2,D,17,8
9/2/08,COST,68.26,661,0,9,0,8,D,12,8
9/2/08,MDLZ,31.7,673,0,6,5,8,R,78,8
9/2/08,MWV,26.74,854,0,5,5,8,D,24,6
9/2/08,PRGO,34.9,668,0,9,0,8,D,88,8
9/2/08,RHI,25.79,854,0,7,0,8,D,15,8
9/2/08,SNI,41.51,664,0,9,0,8,D,12,8
9/2/08,TMO,60.35,854,0,7,0,8,D,15,8
9/2/08,WHR,84.36,661,4,3,4,2,D,43,7
9/2/08,ADBE,42.85,773,0,8,4,5,D,24,25
9/2/08,AEE,41.28,577,0,9,3,7,D,73,25
9/2/08,COP,79,757,0,5,5,7,R,24,27
9/2/08,CVC,31.89,383,0,1,0,1,D,67,26
9/2/08,DLTR,38.86,563,0,7,0,1,R,85,25
9/2/08,FE,71.27,577,4,4,3,7,D,57,26
9/2/08,FLS,129.52,777,0,9,3,5,D,73,25
9/2/08,ISRG,293.58,754,0,9,0,7,R,88,27
9/2/08,KO,51.96,567,4,7,0,3,R,25,25
9/2/08,MA,239.2,777,0,7,0,7,D,85,25
9/2/08,MCHP,31.76,562,0,9,0,7,R,88,25
9/2/08,MMM,71.12,563,0,9,0,7,R,88,25
9/2/08,NKE,61.18,773,0,7,5,7,D,21,26
9/2/08,NOV,66.8,757,4,4,3,7,R,43,27
9/2/08,PKI,28.58,757,0,9,0,5,R,12,26
9/2/08,POM,24.77,757,0,7,0,7,R,15,25
9/2/08,RAI,53.14,573,0,8,0,7,D,13,25
9/2/08,RDC,34.43,567,4,3,5,3,R,40,26
9/2/08,SJM,54.04,313,0,3,0,1,D,33,26
9/2/08,TSS,19.97,567,0,5,5,7,R,24,25
9/3/08,COST,68.33,664,0,9,0,8,D,12,8
9/3/08,ETFC,3.52,853,0,6,4,0,D,26,8
9/3/08,GLW,17.05,485,1,1,1,4,R,100,4
9/3/08,JWN,33.33,664,4,4,4,8,D,40,8
9/3/08,MAC,65.34,664,4,4,3,8,D,43,8
9/3/08,MHK,73.34,661,4,3,4,2,D,43,7
9/3/08,PLL,40.74,661,0,8,3,2,D,28,8
9/3/08,PRGO,34.9,668,0,9,0,8,D,88,8
9/3/08,SNI,41.49,664,0,9,0,8,D,12,8
9/3/08,SPG,97.95,851,0,6,0,2,D,17,8
9/3/08,TMO,59.52,854,0,8,0,8,D,13,7
9/3/08,WIN,12.69,851,4,6,0,2,D,26,5
9/3/08,YUM,37.56,663,4,6,1,2,D,55,7
9/3/08,ADBE,43.14,773,0,7,4,5,D,25,25
9/3/08,AEE,40.55,577,0,7,3,3,D,71,27
9/3/08,AMAT,17.11,565,4,5,3,3,R,40,26
9/3/08,AMT,40.2,755,0,7,0,7,R,15,25
9/3/08,BRCM,22.67,577,4,5,5,7,D,67,25
9/3/08,CNP,15.68,757,0,8,4,7,R,24,26
9/3/08,CSC,45.5,755,0,7,5,7,R,21,26
9/3/08,CTSH,29.54,567,0,9,0,7,R,12,25
9/3/08,EOG,94.11,565,4,4,3,3,R,43,26
9/3/08,HAL,41.33,755,4,4,4,7,R,40,27
9/3/08,INTC,21.54,565,0,7,3,7,R,29,25
9/3/08,IRM,27.9,563,0,9,0,7,R,88,25
9/3/08,ISRG,290.44,757,0,9,0,7,R,12,27
9/3/08,ITW,49.47,752,0,6,5,7,R,78,26
9/3/08,JCI,30.52,562,0,9,0,7,R,88,25
9/3/08,LOW,26.71,131,1,2,2,1,D,83,25
9/3/08,LRCX,33.64,555,4,6,3,3,R,38,25
9/3/08,MA,229.63,777,0,5,5,7,D,76,27
9/3/08,MMM,70.83,563,0,9,0,7,R,88,25
9/3/08,NKE,61.91,773,0,7,5,7,D,21,26
