date,symbol,close,kno,w,h,e,n,rd,pct,cr
1/3/08,HOT,40.98,556,1,1,1,4,R,100,8
1/3/08,HRS,62.16,664,0,9,0,2,D,12,7
1/3/08,LUV,11.6,417,1,1,3,4,R,83,5
1/3/08,MU,6.95,417,1,2,0,4,R,70,6
1/3/08,NFLX,26.07,673,0,7,3,8,R,71,7
1/3/08,NRG,42.2,668,0,9,0,8,D,88,8
1/3/08,PETM,22.78,497,1,2,0,4,R,70,8
1/3/08,SLM,19.16,487,3,1,0,4,R,60,8
1/3/08,SYK,73.83,854,0,7,0,2,D,15,7
1/3/08,TDC,26.89,854,0,9,0,8,D,12,6
1/3/08,WMB,36.7,654,0,6,4,2,D,26,8
1/3/08,WU,23.25,854,0,7,3,2,D,29,5
1/3/08,ACN,35.44,757,0,7,0,7,R,15,25
1/3/08,ADS,73.76,567,0,5,5,7,R,24,25
1/3/08,AME,46.48,553,0,8,3,1,R,72,25
1/3/08,AMT,40.46,567,4,4,4,7,R,40,25
1/3/08,AZO,113.72,577,4,6,4,3,D,65,26
1/3/08,CA,24.34,557,4,4,5,3,R,37,25
1/3/08,CPB,34.91,565,4,4,5,3,R,37,26
1/3/08,CSX,42,577,0,7,5,7,D,79,25
1/3/08,DFS,14.83,757,0,7,5,7,R,21,26
1/3/08,DGX,52.11,567,0,6,4,7,R,26,25
1/3/08,DNR,32.49,173,1,2,2,1,D,83,26
1/3/08,EXPD,43.56,577,0,5,5,7,D,76,26
1/3/08,HUM,80.62,391,1,3,1,1,D,83,26
1/3/08,JPM,41.88,565,4,5,3,3,R,40,26
1/3/08,KMB,69.18,757,0,9,0,7,R,12,27
1/3/08,KMX,19.74,777,0,6,0,3,D,83,25
1/3/08,MNST,42.9,577,0,5,5,7,D,76,26
1/3/08,MOS,97.71,313,0,2,0,1,D,50,26
1/3/08,NFX,53.97,553,1,6,4,1,R,45,26
1/3/08,PH,71.84,567,4,4,5,7,R,37,25
1/3/08,PLD,58.6,755,4,3,4,3,R,43,28
1/3/08,PRGO,34.04,383,0,3,0,1,D,33,25
1/3/08,PRU,91.3,567,0,6,4,7,R,26,25
1/3/08,QCOM,37.9,557,4,5,4,3,R,37,25
1/3/08,RIG,145.94,313,0,2,0,1,D,50,26
1/3/08,TSO,45.19,777,4,4,4,3,D,60,28
1/4/08,AIV,32.41,485,1,3,2,4,R,75,7
1/4/08,ALTR,18.07,858,4,5,3,6,D,60,7
1/4/08,AN,13.9,445,1,2,1,4,R,92,6
1/4/08,AVB,84.02,415,1,2,3,4,R,75,6
1/4/08,BBBY,26.19,485,1,1,2,6,R,92,8
1/4/08,BBT,27.36,497,1,1,1,4,R,100,5
1/4/08,CMCSA,16.84,485,1,2,3,4,R,75,7
1/4/08,CMCSK,16.75,485,1,2,3,4,R,75,7
1/4/08,COH,28.09,485,1,2,3,4,R,75,7
1/4/08,COV,42.89,873,0,8,3,8,R,72,7
1/4/08,CSC,44.04,487,1,1,2,4,R,92,5
1/4/08,DRI,25.59,447,1,1,3,4,R,83,7
1/4/08,DTV,21.58,407,1,2,1,4,R,92,8
1/4/08,ETR,118.7,668,0,9,0,2,D,88,7
1/4/08,EXPE,29.56,678,4,5,2,8,R,48,7
1/4/08,F,6.13,485,1,2,2,4,R,83,6
1/4/08,FDO,17,415,1,2,3,4,R,75,6
1/4/08,FDX,84.1,487,1,1,1,4,R,100,4
1/4/08,GPC,43.36,235,1,1,1,4,R,100,6
1/4/08,HAR,68.49,667,4,4,5,4,D,63,6
1/4/08,JBL,13.56,558,1,1,0,4,R,80,8
1/4/08,KLAC,43.52,415,1,2,1,4,R,92,4
1/4/08,KSS,40.9,495,1,2,3,4,R,75,8
1/4/08,LRCX,40.02,435,1,2,2,4,R,83,5
1/4/08,LSI,4.48,495,1,2,3,4,R,75,8
1/4/08,LUV,11.42,417,1,1,3,4,R,83,5
1/4/08,MAC,64.86,415,1,2,2,4,R,83,5
1/4/08,MHFI,40.81,485,1,3,0,4,R,60,8
1/4/08,MU,6.4,417,1,1,4,4,R,80,6
1/4/08,NWL,23.91,415,1,2,1,4,R,92,4
1/4/08,PETM,21.77,497,1,1,2,4,R,92,6
1/4/08,POM,28.63,854,0,7,0,8,D,15,8
1/4/08,PVH,32.69,495,1,2,3,4,R,75,8
1/4/08,RL,56.59,495,1,3,1,4,R,83,7
1/4/08,SBUX,18.11,415,1,1,3,4,R,83,5
1/4/08,SHW,54.08,485,1,2,3,4,R,75,7
1/4/08,SLM,16.67,487,1,1,4,4,R,80,7
1/4/08,SPG,79.56,415,1,2,1,4,R,92,4
1/4/08,SWK,44.35,417,1,2,3,4,R,75,6
1/4/08,TDC,26.62,854,0,9,0,8,D,12,6
1/4/08,TYC,38.07,877,0,7,5,6,R,21,8
1/4/08,UNH,56,873,0,6,5,8,R,78,7
1/4/08,VMC,71.01,485,1,2,1,4,R,92,5
1/4/08,WFC,27.49,415,1,1,2,4,R,92,4
1/4/08,WMB,35.59,654,0,9,0,2,D,12,8
1/4/08,WYN,21.93,415,1,1,2,4,R,92,4
1/4/08,ACN,34.91,565,4,6,0,3,R,26,26
1/4/08,ADSK,45.7,777,4,6,2,9,D,53,25
1/4/08,DFS,13.94,757,0,6,5,3,R,22,27
1/4/08,EA,54.51,757,4,6,3,7,R,38,27
1/4/08,EXPD,41.21,577,4,3,4,7,D,57,26
1/4/08,FOX,20.11,595,4,3,5,3,R,40,27
1/4/08,FOXA,19.47,557,4,3,4,3,R,43,25
1/4/08,GIS,55.7,567,4,3,4,3,R,43,26
1/4/08,JPM,40.93,567,4,3,4,3,R,43,26
1/4/08,KMB,68.97,757,0,9,0,7,R,12,27
1/4/08,MDLZ,31.45,567,4,4,4,7,R,40,25
1/4/08,MMM,81.76,567,0,6,4,7,R,26,25
1/4/08,MOS,95.41,313,0,2,0,1,D,50,26
1/4/08,NUE,54.82,565,0,6,4,7,R,26,25
1/4/08,PNR,32.97,567,0,6,4,7,R,26,25
1/4/08,PPG,66.66,557,4,5,3,3,R,40,25
1/4/08,QCOM,37.03,557,4,4,3,3,R,43,25
1/4/08,RIG,142.46,313,0,2,0,1,D,50,26
1/4/08,SPLS,21.27,565,4,5,5,3,R,33,25
1/4/08,STX,23.31,557,4,3,4,3,R,43,25
1/4/08,STZ,22.78,577,4,5,4,7,D,63,26
1/4/08,TEL,35.52,757,0,9,3,7,R,27,26
1/7/08,ABT,57.5,873,0,6,4,2,R,74,5
1/7/08,AET,57.92,693,0,6,5,2,D,22,7
1/7/08,AN,13.8,415,1,2,1,4,R,92,4
1/7/08,AVB,86.95,418,2,3,3,4,R,58,8
1/7/08,BAX,59.6,664,0,7,4,2,D,25,8
