date,stock,close,kno,w,h,e,n,rd,pct
01/22/2013,TSN,22.15,311,1,3,2,1,D,75
01/23/2013,DE,92.77,311,4,3,3,1,D,47
01/23/2013,EMR,56.87,311,4,2,3,1,D,55
01/23/2013,GCI,20.30,311,2,3,5,1,D,52
01/23/2013,STT,55.33,311,1,1,1,1,D,100
01/23/2013,VIAB,59.00,311,4,2,0,1,D,46
01/24/2013,AET,49.72,311,1,3,5,1,D,60
01/24/2013,PDCO,36.51,311,4,2,0,1,D,46
01/25/2013,CF,230.28,311,4,3,2,1,D,55
01/25/2013,DIS,54.38,311,2,2,3,1,D,67
01/25/2013,NFLX,169.56,311,1,1,1,1,D,100
01/25/2013,TXT,28.75,311,1,2,2,1,D,83
01/28/2013,JEC,48.73,311,1,2,1,1,D,92
01/28/2013,PLD,40.93,311,1,1,3,1,D,83
01/29/2013,HES,68.11,311,1,1,3,1,D,83
01/29/2013,LNC,29.26,311,2,3,3,1,D,58
01/29/2013,PSA,154.22,311,2,3,0,1,D,50
01/29/2013,VLO,43.77,311,1,1,2,1,D,92
01/31/2013,BSX,7.47,311,1,1,1,1,D,100
01/31/2013,EIX,48.19,311,1,3,3,1,D,67
02/01/2013,CMS,25.83,311,2,3,0,1,D,50
02/06/2013,BDX,87.88,311,1,1,1,1,D,100
02/06/2013,PGR,23.16,311,4,3,2,1,D,55
02/07/2013,TSN,23.77,311,4,2,1,1,D,72
02/08/2013,APC,84.45,311,2,3,1,1,D,75
02/08/2013,GIS,42.60,311,2,3,0,1,D,50
02/08/2013,IFF,73.60,311,1,3,1,1,D,83
02/08/2013,NBL,115.36,311,2,2,1,1,D,83
02/13/2013,ZION,24.74,311,3,2,5,1,D,52
02/14/2013,TWX,53.63,311,3,3,1,1,D,67
02/15/2013,ABT,35.08,311,1,3,0,1,D,60
02/15/2013,LEG,30.70,311,2,3,1,1,D,75
02/19/2013,HRL,36.54,311,4,2,3,1,D,55
02/19/2013,JNJ,76.96,311,3,2,3,1,D,58
02/19/2013,KIM,21.92,311,3,2,3,1,D,58
02/19/2013,UPS,84.76,311,1,1,3,1,D,83
02/27/2013,SEE,21.84,311,1,2,3,1,D,75
02/28/2013,CMS,26.61,311,3,3,0,1,D,40
02/28/2013,SWY,23.86,311,2,1,3,1,D,75
02/28/2013,VTR,70.78,311,3,2,0,1,D,50
03/01/2013,CPB,42.11,311,1,1,3,1,D,83
03/01/2013,EQT,63.92,311,1,4,3,1,D,63
03/01/2013,HSY,83.45,311,2,2,1,1,D,83
03/01/2013,KR,29.53,311,2,3,3,1,D,58
03/01/2013,PNW,56.04,311,1,3,0,1,D,60
03/01/2013,RRC,77.39,311,1,2,2,1,D,83
03/01/2013,SRE,78.45,311,2,3,3,1,D,58
03/01/2013,WEC,41.31,311,1,2,3,1,D,75
03/04/2013,HD,70.29,311,4,3,1,1,D,63
03/04/2013,HRL,37.98,311,4,2,4,1,D,52
03/04/2013,UNM,25.22,311,4,2,3,1,D,55
03/05/2013,ABC,48.27,311,2,3,0,1,D,50
03/05/2013,CNP,21.86,311,1,2,1,1,D,92
03/05/2013,GILD,45.02,311,1,2,4,1,D,72
03/05/2013,LEG,31.46,311,1,3,5,1,D,60
03/05/2013,NU,42.58,311,1,3,0,1,D,60
03/05/2013,PPL,31.31,311,1,2,0,1,D,70
03/05/2013,SYK,66.00,311,1,3,0,1,D,60
03/06/2013,CME,62.01,311,1,2,5,1,D,68
