TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
ADD,9/27/02,T,20.15,1.0,1834.8623853211009,36972.47706422018,x
SUB,1/5/04,T,27.05,0.5,1848.4288354898335,50000.0,x
SUB,11/24/95,TAP,20.31,1.0,4923.682914820286,100000.0,x
SUB,11/28/95,TAP,20.81,2.0,4805.382027871216,100000.0,x
SUB,5/3/12,TDC,77.14,0.5,648.1721545242416,50000.0,x
SUB,9/29/95,TE,23.5,1.0,4255.31914893617,100000.0,x
SUB,10/3/95,TE,23.88,2.0,4187.604690117253,100000.0,x
ADD,3/19/99,TE,20.19,0.5,2110.7309597633557,42615.65807762215,x
ADD,10/8/02,TE,13.04,0.5,2110.7309597633557,27523.931715314156,x
ADD,10/9/02,TE,12.01,0.5,2110.7309597633557,25349.8788267579,x
ADD,10/10/02,TE,11.36,0.5,2110.7309597633557,23977.90370291172,x
SUB,6/10/05,TE,18.31,1.0,5461.496450027308,100000.0,x
SUB,6/13/05,TE,18.56,2.0,5387.931034482759,100000.0,x
ADD,8/8/11,TE,16.12,2.0,10849.427484510066,174892.77105030228,x
SUB,10/27/95,TEG,31.75,0.5,1574.8031496062993,50000.0,x
SUB,12/20/95,TEG,33.75,2.0,4444.444444444444,150000.0,x
ADD,4/24/97,TEG,24.0,0.5,1504.811898512686,36115.485564304465,x
ADD,4/25/97,TEG,23.5,0.5,1504.811898512686,35363.07961504812,x
ADD,4/28/97,TEG,23.63,0.5,1504.8118985126862,35558.70516185477,x
ADD,2/25/00,TEG,23.38,0.5,1504.8118985126862,35182.5021872266,x
SUB,2/15/05,TEG,53.6,0.5,932.8358208955224,50000.0,x
SUB,1/27/99,TGT,63.0,1.0,1587.3015873015872,100000.0,x
ADD,1/24/14,TGT,57.72,0.5,1587.3015873015872,91619.04761904762,x
ADD,1/27/14,TGT,57.71,0.5,1587.3015873015872,91603.1746031746,x
SUB,1/7/00,THC,27.63,1.0,3619.2544335866814,100000.0,x
ADD,10/25/05,THC,8.29,2.0,5428.881650380023,45005.42888165038,x
SUB,3/1/96,TJX,23.88,1.0,4187.604690117253,100000.0,x
SUB,3/4/96,TJX,24.25,2.0,4123.711340206186,100000.0,x
SUB,12/7/00,TMK,40.19,0.5,1244.090569793481,50000.0,x
ADD,7/22/02,TMK,31.0,1.0,1244.090569793481,38566.807663597916,x
SUB,2/7/07,TMK,66.87,1.0,1495.4389113204725,100000.0,x
SUB,6/20/95,TMO,39.63,0.5,1261.6704516780217,50000.0,x
SUB,7/7/95,TMO,44.88,1.0,1114.0819964349375,50000.0,x
